Mass (u)	P1_SQ0	P2_SQ0	P3_SQ0	P1_SQ1	P1_SQ2	P1_SQ3	P1_SQ4	P1_SQ5	P2_SQ1	P2_SQ2	P2_SQ3	P2_SQ4	P2_SQ5	P3_SQ1	P3_SQ2	P3_SQ3	P3_SQ4	P3_SQ5
59.01579	1.94E-03	2.05E-03	1.99E-03	5.11E-05	1.12E-03	1.07E-03	1.17E-03	1.28E-03	4.95E-05	1.27E-03	9.75E-04	1.23E-03	1.15E-03	4.55E-05	1.27E-03	1.16E-03	1.22E-03	1.32E-03
59.1726	4.38E-05	4.27E-05	4.32E-05	6.46E-06	1.00E-04	7.97E-05	6.06E-05	5.91E-05	5.48E-06	8.05E-05	5.76E-05	6.13E-05	4.82E-05	1.02E-05	8.80E-05	7.52E-05	5.63E-05	4.81E-05
59.21617	1.41E-05	1.43E-05	1.44E-05	0.00E+00	5.22E-06	5.17E-06	4.57E-06	8.03E-06	0.00E+00	4.85E-06	4.51E-06	5.31E-06	7.91E-06	0.00E+00	4.30E-06	6.87E-06	5.24E-06	5.38E-06
59.96782	1.59E-03	1.46E-03	1.72E-03	3.33E-02	7.59E-04	4.16E-04	3.20E-04	2.40E-04	3.33E-02	6.48E-04	7.35E-04	3.54E-04	2.51E-04	3.38E-02	6.95E-04	4.83E-04	3.62E-04	2.85E-04
60.0008	1.97E-03	1.76E-03	1.85E-03	5.07E-03	1.43E-03	1.86E-03	2.48E-03	2.73E-03	5.25E-03	1.38E-03	1.61E-03	2.36E-03	2.29E-03	5.06E-03	1.40E-03	1.78E-03	2.40E-03	2.79E-03
60.20433	5.14E-05	4.48E-05	4.68E-05	4.59E-05	2.48E-05	3.73E-05	4.69E-05	5.42E-05	4.86E-05	2.09E-05	2.46E-05	4.63E-05	5.10E-05	6.15E-05	2.74E-05	2.97E-05	4.46E-05	5.53E-05
60.97575	1.05E-03	1.03E-03	1.20E-03	1.08E-02	4.28E-04	2.96E-04	2.49E-04	2.18E-04	1.00E-02	4.19E-04	5.89E-04	2.56E-04	2.33E-04	1.07E-02	4.52E-04	3.52E-04	2.74E-04	2.50E-04
60.9892	9.27E-04	9.61E-04	9.31E-04	1.92E-03	1.00E-03	1.06E-03	1.14E-03	1.20E-03	1.73E-03	1.08E-03	9.61E-04	1.14E-03	9.98E-04	1.94E-03	1.10E-03	1.11E-03	1.19E-03	1.16E-03
61.00967	2.61E-03	2.47E-03	2.54E-03	2.34E-03	1.42E-03	2.04E-03	2.85E-03	3.19E-03	2.35E-03	1.55E-03	1.76E-03	2.81E-03	2.79E-03	2.37E-03	1.58E-03	2.00E-03	2.87E-03	3.29E-03
61.2131	4.20E-05	3.69E-05	3.99E-05	2.08E-05	1.65E-05	2.80E-05	3.71E-05	3.90E-05	2.58E-05	1.64E-05	2.15E-05	3.60E-05	3.42E-05	2.12E-05	1.60E-05	2.17E-05	3.02E-05	4.51E-05
61.96502	5.31E-05	4.54E-05	5.14E-05	1.07E-03	3.00E-05	2.95E-05	1.92E-05	1.83E-05	1.04E-03	2.57E-05	4.13E-05	2.12E-05	2.04E-05	1.06E-03	3.32E-05	2.64E-05	2.19E-05	2.09E-05
62.01854	2.77E-03	2.72E-03	2.82E-03	1.16E-03	1.34E-03	1.94E-03	2.80E-03	3.21E-03	1.01E-03	1.45E-03	1.79E-03	2.72E-03	2.78E-03	1.14E-03	1.46E-03	1.89E-03	2.76E-03	3.20E-03
62.22143	3.27E-05	2.96E-05	2.82E-05	8.61E-06	1.48E-05	1.66E-05	2.47E-05	2.90E-05	1.02E-05	1.27E-05	1.11E-05	2.80E-05	3.09E-05	1.02E-05	9.39E-06	1.56E-05	1.88E-05	2.48E-05
62.98064	2.45E-04	2.07E-04	2.62E-04	1.96E-03	9.26E-04	2.94E-04	2.96E-04	2.95E-04	1.90E-03	3.05E-04	3.31E-04	2.98E-04	3.23E-04	1.89E-03	3.35E-04	3.29E-04	3.08E-04	2.93E-04
63.02652	1.88E-03	1.93E-03	1.92E-03	3.48E-04	7.70E-04	1.12E-03	1.69E-03	1.94E-03	3.19E-04	8.54E-04	1.03E-03	1.65E-03	1.74E-03	3.73E-04	8.41E-04	1.10E-03	1.74E-03	1.98E-03
63.99525	5.20E-04	4.70E-04	4.90E-04	3.80E-04	4.44E-04	5.26E-04	6.64E-04	7.21E-04	3.81E-04	3.96E-04	4.91E-04	6.63E-04	6.26E-04	3.58E-04	4.06E-04	4.97E-04	6.46E-04	7.29E-04
