Mass (u)	P1_SQ1	P1_SQ2	P1_SQ3	P1_SQ4	P1_SQ5	P2_SQ1	P2_SQ2	P2_SQ3	P2_SQ4	P2_SQ5	P3_SQ1	P3_SQ2	P3_SQ3	P3_SQ4	P3_SQ5	P1_SQ0	P2_SQ0	P3_SQ0
66.00841	2.99E-04	6.14E-04	6.75E-04	9.37E-04	1.01E-03	2.68E-04	5.57E-04	6.58E-04	9.22E-04	9.88E-04	2.56E-04	5.55E-04	6.74E-04	9.18E-04	1.04E-03	1.05E-03	1.01E-03	1.09E-03
66.97721	1.01E-04	1.76E-03	1.87E-03	2.03E-03	2.03E-03	1.07E-04	1.67E-03	1.67E-03	1.96E-03	1.63E-03	1.22E-04	1.69E-03	1.83E-03	2.02E-03	2.06E-03	1.88E-03	1.63E-03	1.72E-03
67.0204	9.26E-05	9.84E-04	1.68E-03	2.50E-03	2.90E-03	6.97E-05	1.23E-03	1.55E-03	2.55E-03	2.77E-03	7.76E-05	1.22E-03	1.65E-03	2.52E-03	2.99E-03	5.95E-03	6.36E-03	6.16E-03
68.02251	1.22E-05	9.41E-05	1.32E-04	1.69E-04	1.93E-04	8.62E-06	8.28E-05	1.05E-04	1.64E-04	1.95E-04	1.39E-05	7.52E-05	1.13E-04	1.68E-04	1.78E-04	3.63E-04	3.58E-04	4.02E-04
68.99883	5.70E-04	1.63E-03	2.43E-03	3.26E-03	3.82E-03	5.94E-04	1.86E-03	2.29E-03	3.48E-03	3.67E-03	6.21E-04	1.87E-03	2.44E-03	3.49E-03	3.96E-03	2.85E-03	2.81E-03	3.05E-03
69.03678	5.03E-06	2.16E-04	3.60E-04	6.28E-04	7.67E-04	9.41E-06	2.91E-04	3.46E-04	6.39E-04	7.51E-04	9.53E-06	2.65E-04	3.82E-04	6.52E-04	8.32E-04	4.93E-04	5.43E-04	5.22E-04
70.00448	2.37E-05	1.13E-04	1.35E-04	1.83E-04	2.17E-04	1.96E-05	1.22E-04	1.18E-04	2.02E-04	2.21E-04	1.98E-05	1.09E-04	1.24E-04	2.02E-04	2.28E-04	1.22E-04	1.22E-04	1.26E-04
71.01549	2.58E-05	1.86E-03	2.20E-03	2.46E-03	2.60E-03	2.04E-05	2.35E-03	2.21E-03	2.53E-03	2.56E-03	1.76E-05	2.31E-03	2.39E-03	2.61E-03	2.65E-03	1.43E-03	1.48E-03	1.46E-03
72.00041	5.39E-03	9.87E-04	1.28E-03	1.87E-03	2.15E-03	5.65E-03	8.90E-04	1.18E-03	1.79E-03	1.79E-03	5.37E-03	9.10E-04	1.22E-03	1.81E-03	2.17E-03	1.40E-03	1.21E-03	1.26E-03
72.99397	1.25E-04	3.02E-04	3.64E-04	4.82E-04	5.45E-04	1.56E-04	2.83E-04	1.13E-03	5.07E-04	5.43E-04	1.68E-04	2.58E-04	3.54E-04	4.93E-04	5.44E-04	3.31E-04	3.04E-04	3.42E-04
