Mass (u)	P1_SQ2	P1_SQ1	P1_SQ3	P1_SQ4	P1_SQ5	P2_SQ2	P2_SQ1	P2_SQ3	P2_SQ4	P2_SQ5	P3_SQ2	P3_SQ1	P3_SQ3	P3_SQ4	P3_SQ5
738.6365	1.41E-04	2.87E-06	2.07E-04	3.40E-04	4.13E-04	1.47E-04	7.83E-07	1.60E-04	3.43E-04	3.30E-04	1.91E-04	2.20E-06	2.20E-04	3.35E-04	4.46E-04
739.9147	4.61E-05	1.43E-06	6.94E-05	9.44E-05	1.13E-04	4.88E-05	0.00E+00	8.18E-05	1.01E-04	1.45E-04	5.48E-05	1.46E-06	6.47E-05	9.64E-05	1.15E-04
740.7429	2.57E-05	1.43E-06	4.21E-05	7.12E-05	7.74E-05	3.84E-05	1.57E-06	3.50E-05	6.96E-05	8.55E-05	3.64E-05	0.00E+00	4.34E-05	6.90E-05	8.15E-05
742.018	3.57E-05	0.00E+00	4.94E-05	8.28E-05	1.03E-04	4.29E-05	1.57E-06	6.03E-05	7.99E-05	1.31E-04	4.58E-05	1.46E-06	4.96E-05	7.42E-05	8.51E-05
742.8491	1.87E-05	2.87E-06	2.73E-05	4.41E-05	4.99E-05	2.39E-05	0.00E+00	2.70E-05	4.51E-05	6.81E-05	2.19E-05	1.46E-06	2.60E-05	3.94E-05	4.51E-05
744.0271	2.05E-05	7.17E-07	4.98E-05	6.88E-05	7.57E-05	4.62E-05	7.83E-07	5.24E-05	6.93E-05	1.06E-04	3.99E-05	1.46E-06	4.20E-05	5.79E-05	6.93E-05
744.9367	2.05E-05	0.00E+00	3.10E-05	4.45E-05	5.82E-05	2.91E-05	0.00E+00	3.29E-05	4.83E-05	6.12E-05	1.72E-05	0.00E+00	2.68E-05	4.34E-05	5.08E-05
745.9858	5.00E-05	0.00E+00	7.82E-05	1.40E-04	1.64E-04	7.08E-05	0.00E+00	8.81E-05	1.30E-04	1.77E-04	6.69E-05	7.32E-07	7.99E-05	1.19E-04	1.48E-04
746.6682	5.74E-05	0.00E+00	7.23E-05	1.12E-04	1.26E-04	6.11E-05	7.83E-07	7.80E-05	1.16E-04	1.37E-04	6.53E-05	0.00E+00	6.51E-05	1.11E-04	1.29E-04
748.0535	2.70E-04	0.00E+00	5.01E-04	5.12E-04	4.56E-04	4.96E-04	7.83E-07	6.59E-04	5.23E-04	7.81E-04	4.08E-04	0.00E+00	4.41E-04	4.07E-04	3.89E-04
748.5869	2.54E-04	0.00E+00	4.52E-04	4.55E-04	4.10E-04	4.39E-04	2.35E-06	3.46E-04	4.55E-04	6.12E-04	3.75E-04	0.00E+00	4.47E-04	3.90E-04	3.20E-04
750.0198	1.15E-04	2.15E-06	2.03E-04	2.16E-04	1.98E-04	1.91E-04	1.57E-06	2.77E-04	2.31E-04	3.59E-04	1.82E-04	0.00E+00	1.76E-04	1.86E-04	1.77E-04
750.5976	1.04E-04	0.00E+00	1.93E-04	1.93E-04	1.82E-04	1.84E-04	0.00E+00	1.42E-04	2.00E-04	2.63E-04	1.56E-04	0.00E+00	1.65E-04	1.67E-04	1.63E-04
751.991	4.22E-05	7.17E-07	7.49E-05	8.80E-05	1.00E-04	5.63E-05	7.83E-07	6.76E-05	9.55E-05	1.22E-04	6.10E-05	0.00E+00	6.84E-05	8.16E-05	9.08E-05
752.7502	1.96E-05	0.00E+00	4.39E-05	5.51E-05	6.68E-05	3.35E-05	7.83E-07	3.95E-05	5.87E-05	6.81E-05	3.83E-05	0.00E+00	4.52E-05	5.79E-05	5.38E-05
753.9198	4.22E-05	0.00E+00	5.83E-05	1.04E-04	1.13E-04	4.77E-05	0.00E+00	6.42E-05	9.11E-05	1.12E-04	4.58E-05	0.00E+00	5.43E-05	9.67E-05	1.08E-04
754.8275	5.05E-05	0.00E+00	7.31E-05	1.03E-04	1.31E-04	5.07E-05	0.00E+00	6.55E-05	1.16E-04	1.37E-04	6.30E-05	1.46E-06	6.62E-05	9.42E-05	1.19E-04
756.027	1.13E-04	0.00E+00	1.67E-04	2.31E-04	2.37E-04	1.49E-04	7.83E-07	2.14E-04	2.36E-04	3.29E-04	1.36E-04	0.00E+00	1.47E-04	1.94E-04	2.37E-04
756.6055	7.92E-05	7.17E-07	1.66E-04	2.20E-04	2.27E-04	1.16E-04	0.00E+00	1.20E-04	2.11E-04	2.32E-04	1.32E-04	0.00E+00	1.51E-04	1.96E-04	2.26E-04
757.9898	3.26E-05	7.17E-07	8.34E-05	1.09E-04	1.26E-04	6.49E-05	0.00E+00	7.84E-05	1.10E-04	1.82E-04	5.83E-05	7.32E-07	6.87E-05	1.06E-04	1.27E-04
758.7198	2.70E-05	2.15E-06	5.42E-05	7.83E-05	7.91E-05	3.80E-05	7.83E-07	3.92E-05	7.10E-05	1.15E-04	3.83E-05	0.00E+00	5.17E-05	6.80E-05	7.26E-05
759.9124	2.26E-05	1.43E-06	4.21E-05	6.94E-05	7.66E-05	4.06E-05	1.57E-06	4.37E-05	6.57E-05	1.02E-04	3.72E-05	0.00E+00	3.80E-05	6.10E-05	6.90E-05
760.9979	1.17E-05	0.00E+00	2.18E-05	4.60E-05	4.70E-05	2.24E-05	0.00E+00	2.60E-05	4.42E-05	5.97E-05	2.03E-05	0.00E+00	2.39E-05	3.39E-05	4.63E-05
762.0448	3.09E-05	7.17E-07	6.05E-05	1.09E-04	1.10E-04	5.52E-05	0.00E+00	6.38E-05	9.99E-05	1.37E-04	5.04E-05	7.32E-07	6.26E-05	8.22E-05	1.28E-04
762.8275	2.92E-05	7.17E-07	5.46E-05	7.80E-05	9.40E-05	4.03E-05	0.00E+00	4.79E-05	7.69E-05	8.55E-05	3.75E-05	0.00E+00	3.83E-05	7.51E-05	8.93E-05
763.9856	6.09E-05	7.17E-07	9.00E-05	1.36E-04	1.68E-04	7.64E-05	0.00E+00	9.54E-05	1.46E-04	1.83E-04	7.78E-05	0.00E+00	9.66E-05	1.29E-04	1.56E-04
764.6551	2.87E-05	7.17E-07	5.94E-05	9.53E-05	1.10E-04	4.17E-05	7.83E-07	5.03E-05	9.37E-05	1.05E-04	4.77E-05	0.00E+00	5.50E-05	8.10E-05	1.03E-04
766.017	3.39E-05	0.00E+00	5.53E-05	7.46E-05	9.32E-05	4.51E-05	7.83E-07	6.21E-05	8.05E-05	1.09E-04	4.85E-05	0.00E+00	5.68E-05	7.57E-05	7.62E-05
766.9303	1.78E-05	0.00E+00	2.95E-05	4.99E-05	5.68E-05	3.06E-05	7.83E-07	3.54E-05	4.98E-05	6.40E-05	2.89E-05	0.00E+00	3.04E-05	3.51E-05	4.18E-05
767.9846	3.00E-05	0.00E+00	4.91E-05	6.33E-05	6.94E-05	5.11E-05	0.00E+00	4.99E-05	6.54E-05	1.11E-04	3.40E-05	0.00E+00	4.23E-05	5.66E-05	6.90E-05
768.8848	1.87E-05	0.00E+00	4.06E-05	4.75E-05	4.93E-05	3.28E-05	7.83E-07	4.16E-05	4.75E-05	7.68E-05	3.01E-05	0.00E+00	2.78E-05	4.19E-05	4.66E-05
770.0028	5.27E-05	7.17E-07	8.45E-05	1.19E-04	1.28E-04	7.60E-05	0.00E+00	8.60E-05	1.22E-04	1.72E-04	6.22E-05	7.32E-07	8.28E-05	1.06E-04	1.41E-04
771.2337	1.21E-04	0.00E+00	1.49E-04	1.97E-04	2.22E-04	1.39E-04	0.00E+00	2.06E-04	1.98E-04	2.34E-04	1.25E-04	0.00E+00	1.43E-04	1.87E-04	2.10E-04
772.072	1.11E-03	0.00E+00	1.46E-03	1.66E-03	1.74E-03	1.45E-03	1.57E-06	2.23E-03	1.79E-03	1.80E-03	1.38E-03	7.32E-07	1.57E-03	1.73E-03	1.77E-03
772.5988	2.24E-03	0.00E+00	2.56E-03	2.73E-03	2.84E-03	2.64E-03	0.00E+00	2.01E-03	2.94E-03	2.53E-03	2.75E-03	0.00E+00	2.91E-03	3.05E-03	3.07E-03
773.8986	9.27E-05	0.00E+00	1.35E-04	1.66E-04	1.90E-04	1.31E-04	0.00E+00	1.73E-04	1.79E-04	1.94E-04	1.37E-04	0.00E+00	1.45E-04	1.68E-04	1.90E-04
