Mass (u)	P1_SQ2	P1_SQ1	P1_SQ3	P1_SQ4	P1_SQ5	P2_SQ2	P2_SQ1	P2_SQ3	P2_SQ4	P2_SQ5	P3_SQ2	P3_SQ1	P3_SQ3	P3_SQ4	P3_SQ5
834.3797	1.11E-04	0.00E+00	1.24E-04	1.43E-04	1.44E-04	1.50E-04	1.57E-06	1.51E-04	1.70E-04	1.59E-04	1.49E-04	0.00E+00	1.49E-04	1.61E-04	1.71E-04
834.5388	2.96E-05	0.00E+00	4.02E-05	3.66E-05	4.79E-05	4.55E-05	0.00E+00	3.47E-05	3.98E-05	4.39E-05	5.24E-05	0.00E+00	4.92E-05	4.99E-05	4.51E-05
836.3108	1.31E-05	0.00E+00	2.47E-05	2.50E-05	3.12E-05	1.64E-05	7.83E-07	2.22E-05	3.09E-05	5.36E-05	1.84E-05	0.00E+00	2.13E-05	1.72E-05	3.02E-05
836.5302	8.70E-07	0.00E+00	4.06E-06	9.44E-06	1.06E-05	4.47E-06	0.00E+00	5.55E-06	9.14E-06	1.12E-05	4.69E-06	0.00E+00	4.70E-06	5.85E-06	7.47E-06
838.2568	5.22E-06	0.00E+00	7.38E-06	7.00E-06	1.35E-05	2.24E-06	0.00E+00	5.55E-06	9.73E-06	1.43E-05	7.82E-06	0.00E+00	4.70E-06	9.54E-06	1.52E-05
839.3828	6.53E-06	0.00E+00	1.03E-05	2.01E-05	1.86E-05	9.69E-06	7.83E-07	7.98E-06	1.15E-05	1.20E-05	8.21E-06	0.00E+00	7.96E-06	1.57E-05	2.00E-05
840.1585	7.70E-05	0.00E+00	1.27E-04	1.88E-04	2.40E-04	8.61E-05	0.00E+00	1.01E-04	1.85E-04	1.78E-04	1.04E-04	0.00E+00	1.10E-04	2.00E-04	2.41E-04
841.0182	1.22E-05	0.00E+00	1.22E-05	2.37E-05	2.78E-05	1.08E-05	0.00E+00	1.25E-05	2.62E-05	1.84E-05	8.21E-06	0.00E+00	1.74E-05	1.76E-05	2.33E-05
842.1214	5.66E-06	0.00E+00	1.03E-05	2.16E-05	2.52E-05	9.32E-06	0.00E+00	1.42E-05	1.97E-05	2.37E-05	9.78E-06	0.00E+00	9.77E-06	1.54E-05	2.12E-05
843.1645	4.79E-06	0.00E+00	3.32E-06	2.44E-06	5.45E-06	2.61E-06	0.00E+00	2.08E-06	3.54E-06	4.59E-06	3.91E-06	7.32E-07	2.17E-06	2.46E-06	3.58E-06
843.9517	4.35E-06	0.00E+00	4.43E-06	6.70E-06	8.03E-06	3.73E-06	0.00E+00	2.77E-06	3.83E-06	1.02E-05	1.96E-06	0.00E+00	2.17E-06	4.00E-06	6.27E-06
845.1309	2.18E-06	0.00E+00	7.38E-07	1.22E-06	2.29E-06	3.73E-07	0.00E+00	1.39E-06	2.36E-06	3.83E-06	1.56E-06	0.00E+00	0.00E+00	2.46E-06	1.79E-06
846.2615	1.74E-06	0.00E+00	2.95E-06	3.04E-06	3.73E-06	1.86E-06	0.00E+00	2.43E-06	2.06E-06	5.10E-06	2.74E-06	0.00E+00	3.62E-07	1.54E-06	3.58E-06
847.2842	6.09E-06	0.00E+00	6.27E-06	1.52E-05	1.83E-05	2.98E-06	0.00E+00	5.89E-06	7.66E-06	7.91E-06	3.13E-06	0.00E+00	4.34E-06	7.70E-06	9.85E-06
847.8382	1.09E-05	0.00E+00	1.11E-05	1.77E-05	2.12E-05	1.27E-05	0.00E+00	1.01E-05	1.27E-05	1.61E-05	5.87E-06	0.00E+00	7.60E-06	1.26E-05	1.70E-05
849.1908	5.44E-05	0.00E+00	1.00E-04	9.77E-05	7.08E-05	6.49E-05	0.00E+00	6.28E-05	5.45E-05	7.14E-05	5.63E-05	0.00E+00	5.90E-05	4.37E-05	3.82E-05
849.7374	3.79E-05	0.00E+00	7.64E-05	7.07E-05	6.17E-05	4.25E-05	0.00E+00	4.61E-05	5.01E-05	5.31E-05	5.59E-05	0.00E+00	5.53E-05	4.31E-05	3.14E-05
851.1783	1.87E-05	0.00E+00	3.84E-05	2.77E-05	2.21E-05	9.69E-06	0.00E+00	1.56E-05	1.00E-05	1.07E-05	1.53E-05	0.00E+00	9.40E-06	8.93E-06	4.48E-06
851.6557	8.70E-06	0.00E+00	1.37E-05	9.74E-06	7.17E-06	3.73E-06	0.00E+00	2.43E-06	3.24E-06	1.79E-06	5.08E-06	0.00E+00	4.34E-06	5.85E-06	3.58E-06
852.8668	2.18E-06	0.00E+00	7.38E-07	9.13E-07	1.43E-06	0.00E+00	0.00E+00	3.47E-07	2.95E-07	7.65E-07	1.17E-06	0.00E+00	3.62E-07	9.23E-07	5.97E-07
853.7764	4.35E-07	0.00E+00	3.69E-07	0.00E+00	2.87E-07	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.91E-07	0.00E+00	0.00E+00	3.08E-07	2.99E-07
855.2998	8.70E-07	0.00E+00	0.00E+00	0.00E+00	2.87E-07	3.73E-07	0.00E+00	0.00E+00	2.95E-07	2.55E-07	3.91E-07	0.00E+00	7.23E-07	0.00E+00	0.00E+00
855.9993	0.00E+00	0.00E+00	3.69E-07	0.00E+00	2.87E-07	0.00E+00	0.00E+00	0.00E+00	2.95E-07	0.00E+00	0.00E+00	0.00E+00	3.62E-07	0.00E+00	2.99E-07
856.9994	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.91E-07	0.00E+00	0.00E+00	0.00E+00	0.00E+00
858.0002	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.73E-07	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
859.0006	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.47E-07	2.95E-07	2.55E-07	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
859.9998	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
860.9996	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.47E-07	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
861.9999	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
863.4556	4.35E-07	0.00E+00	7.38E-07	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
863.9997	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.95E-07	0.00E+00	0.00E+00	0.00E+00	3.62E-07	0.00E+00	0.00E+00
865.0001	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.62E-07	0.00E+00	0.00E+00
866.0001	0.00E+00	0.00E+00	0.00E+00	3.04E-07	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.95E-07	2.55E-07	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
866.9998	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.55E-07	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.99E-07
868	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
869	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.55E-07	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
869.9996	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.47E-07	0.00E+00	2.55E-07	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
870.9998	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.87E-07	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.62E-07	0.00E+00	0.00E+00
872.0006	0.00E+00	0.00E+00	0.00E+00	3.04E-07	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
873.0002	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.08E-07	0.00E+00
873.9994	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.62E-07	0.00E+00	0.00E+00
874.9992	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
875.9996	0.00E+00	0.00E+00	0.00E+00	0.00E+00	5.73E-07	3.73E-07	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
876.9997	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
877.9994	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.91E-07	0.00E+00	0.00E+00	0.00E+00	0.00E+00
878.9997	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.55E-07	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
879.9996	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.95E-07	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
880.9993	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
881.9995	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
883.0002	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
884.0007	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
884.5747	4.35E-07	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
885.9996	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
886.9999	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
887.9999	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.99E-07
888.9996	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
889.9998	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
891.0005	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
892	0.00E+00	0.00E+00	0.00E+00	3.04E-07	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
893.0001	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.99E-07
894.0008	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
895.0001	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
896.0001	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.73E-07	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
897.0006	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
897.9998	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
898.9996	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
899.9999	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
900.9999	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
901.9996	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.73E-07	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
903.3619	4.35E-07	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
904.0005	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
905	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.99E-07
906	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
907.4695	4.35E-07	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	7.32E-07	0.00E+00	0.00E+00	2.99E-07
907.9999	0.00E+00	0.00E+00	3.69E-07	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
908.9997	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
910.0001	0.00E+00	0.00E+00	0.00E+00	3.04E-07	0.00E+00	0.00E+00	0.00E+00	0.00E+00	2.95E-07	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
911.0002	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
911.9998	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
913.0001	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.73E-07	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
913.9999	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
914.9994	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
915.9994	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	3.73E-07	0.00E+00	3.47E-07	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
917	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
918.0002	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
919	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
920.0003	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
920.9985	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
