formula,mass,charge,description,chemical_class,alucone_relevance
[H5O7Al-H]+,142.976695,positive,Hydrogen loss,Aluminum_oxide,High
H4O7Al-,142.97779300000002,negative,Molecular anion,Aluminum_oxide,High
[H5O7Al-H]-,142.97779300000002,negative,Deprotonated,Aluminum_oxide,High
[C2H5O2Al3+H]+,142.98084799999998,positive,Protonated,Al-organic_hybrid,High
C2H6O2Al3+,142.980848,positive,Molecular ion,Al-organic_hybrid,High
[C2H7O2Al3-H]+,142.980848,positive,Hydrogen loss,Al-organic_hybrid,High
C2H6O2Al3-,142.98194600000002,negative,Molecular anion,Al-organic_hybrid,High
[C2H7O2Al3-H]-,142.98194600000002,negative,Deprotonated,Al-organic_hybrid,High
[C3H4O3Al2+H]+,142.986399,positive,Protonated,Al-organic_hybrid,High
C3H5O3Al2+,142.986399,positive,Molecular ion,Al-organic_hybrid,High
[C3H6O3Al2-H]+,142.986399,positive,Hydrogen loss,Al-organic_hybrid,High
C3H5O3Al2-,142.98749700000002,negative,Molecular anion,Al-organic_hybrid,High
[C3H6O3Al2-H]-,142.98749700000002,negative,Deprotonated,Al-organic_hybrid,High
[C4H3O4Al+H]+,142.99195,positive,Protonated,Al-organic_hybrid,High
C4H4O4Al+,142.99195,positive,Molecular ion,Al-organic_hybrid,High
[C4H5O4Al-H]+,142.99195,positive,Hydrogen loss,Al-organic_hybrid,High
C4H4O4Al-,142.99304800000002,negative,Molecular anion,Al-organic_hybrid,High
[C4H5O4Al-H]-,142.99304800000002,negative,Deprotonated,Al-organic_hybrid,High
[C7H4Al2+H]+,143.001654,positive,Protonated,Al-organic_hybrid,High
C7H5Al2+,143.001654,positive,Molecular ion,Al-organic_hybrid,High
[C7H6Al2-H]+,143.001654,positive,Hydrogen loss,Al-organic_hybrid,High
C7H5Al2-,143.00275200000002,negative,Molecular anion,Al-organic_hybrid,High
[C7H6Al2-H]-,143.00275200000002,negative,Deprotonated,Al-organic_hybrid,High
[C8H3OAl+H]+,143.007205,positive,Protonated,Al-organic_hybrid,High
C8H4OAl+,143.007205,positive,Molecular ion,Al-organic_hybrid,High
[C8H5OAl-H]+,143.007205,positive,Hydrogen loss,Al-organic_hybrid,High
[H8O5Al2+H]+,143.007529,positive,Protonated,Aluminum_oxide,High
H9O5Al2+,143.007529,positive,Molecular ion,Aluminum_oxide,High
[H10O5Al2-H]+,143.007529,positive,Hydrogen loss,Aluminum_oxide,High
C8H4OAl-,143.008303,negative,Molecular anion,Al-organic_hybrid,High
[C8H5OAl-H]-,143.008303,negative,Deprotonated,Al-organic_hybrid,High
H9O5Al2-,143.00862700000002,negative,Molecular anion,Aluminum_oxide,High
[H10O5Al2-H]-,143.00862700000002,negative,Deprotonated,Aluminum_oxide,High
[C2H10Al4+H]+,143.011682,positive,Protonated,Al-organic_hybrid,High
C2H11Al4+,143.011682,positive,Molecular ion,Al-organic_hybrid,High
[C2H12Al4-H]+,143.011682,positive,Hydrogen loss,Al-organic_hybrid,High
C2H11Al4-,143.01278000000002,negative,Molecular anion,Al-organic_hybrid,High
[C2H12Al4-H]-,143.01278000000002,negative,Deprotonated,Al-organic_hybrid,High
[CH7O6Al+H]+,143.01308,positive,Protonated,Al-organic_hybrid,High
CH8O6Al+,143.01308,positive,Molecular ion,Al-organic_hybrid,High
[CH9O6Al-H]+,143.01308,positive,Hydrogen loss,Al-organic_hybrid,High
CH8O6Al-,143.01417800000002,negative,Molecular anion,Al-organic_hybrid,High
[CH9O6Al-H]-,143.01417800000002,negative,Deprotonated,Al-organic_hybrid,High
[C3H9OAl3+H]+,143.017233,positive,Protonated,Al-organic_hybrid,High
C3H10OAl3+,143.017233,positive,Molecular ion,Al-organic_hybrid,High
[C3H11OAl3-H]+,143.017233,positive,Hydrogen loss,Al-organic_hybrid,High
C3H10OAl3-,143.01833100000002,negative,Molecular anion,Al-organic_hybrid,High
[C3H11OAl3-H]-,143.01833100000002,negative,Deprotonated,Al-organic_hybrid,High
[C4H8O2Al2+H]+,143.022784,positive,Protonated,Al-organic_hybrid,High
C4H9O2Al2+,143.022784,positive,Molecular ion,Al-organic_hybrid,High
[C4H10O2Al2-H]+,143.022784,positive,Hydrogen loss,Al-organic_hybrid,High
C4H9O2Al2-,143.02388200000001,negative,Molecular anion,Al-organic_hybrid,High
[C4H10O2Al2-H]-,143.02388200000001,negative,Deprotonated,Al-organic_hybrid,High
[C5H7O3Al+H]+,143.028335,positive,Protonated,Al-organic_hybrid,High
C5H8O3Al+,143.028335,positive,Molecular ion,Al-organic_hybrid,High
[C5H9O3Al-H]+,143.028335,positive,Hydrogen loss,Al-organic_hybrid,High
C5H8O3Al-,143.029433,negative,Molecular anion,Al-organic_hybrid,High
[C5H9O3Al-H]-,143.029433,negative,Deprotonated,Al-organic_hybrid,High
[H13O3Al3+H]+,143.038363,positive,Protonated,Aluminum_oxide,High
H14O3Al3+,143.038363,positive,Molecular ion,Aluminum_oxide,High
[H15O3Al3-H]+,143.038363,positive,Hydrogen loss,Aluminum_oxide,High
H14O3Al3-,143.03946100000002,negative,Molecular anion,Aluminum_oxide,High
[H15O3Al3-H]-,143.03946100000002,negative,Deprotonated,Aluminum_oxide,High
[C9H7Al+H]+,143.04359,positive,Protonated,Al-organic_hybrid,High
C9H8Al+,143.04359,positive,Molecular ion,Al-organic_hybrid,High
[C9H9Al-H]+,143.04359,positive,Hydrogen loss,Al-organic_hybrid,High
[CH12O4Al2+H]+,143.043914,positive,Protonated,Al-organic_hybrid,High
CH13O4Al2+,143.043914,positive,Molecular ion,Al-organic_hybrid,High
[CH14O4Al2-H]+,143.043914,positive,Hydrogen loss,Al-organic_hybrid,High
C9H8Al-,143.044688,negative,Molecular anion,Al-organic_hybrid,High
[C9H9Al-H]-,143.044688,negative,Deprotonated,Al-organic_hybrid,High
CH13O4Al2-,143.045012,negative,Molecular anion,Al-organic_hybrid,High
[CH14O4Al2-H]-,143.045012,negative,Deprotonated,Al-organic_hybrid,High
[C2H11O5Al+H]+,143.049465,positive,Protonated,Al-organic_hybrid,High
C2H12O5Al+,143.049465,positive,Molecular ion,Al-organic_hybrid,High
[C2H13O5Al-H]+,143.049465,positive,Hydrogen loss,Al-organic_hybrid,High
C2H12O5Al-,143.050563,negative,Molecular anion,Al-organic_hybrid,High
[C2H13O5Al-H]-,143.050563,negative,Deprotonated,Al-organic_hybrid,High
[C4H13Al3+H]+,143.053618,positive,Protonated,Al-organic_hybrid,High
C4H14Al3+,143.053618,positive,Molecular ion,Al-organic_hybrid,High
[C4H15Al3-H]+,143.053618,positive,Hydrogen loss,Al-organic_hybrid,High
C4H14Al3-,143.054716,negative,Molecular anion,Al-organic_hybrid,High
[C4H15Al3-H]-,143.054716,negative,Deprotonated,Al-organic_hybrid,High
[C5H12OAl2+H]+,143.059169,positive,Protonated,Al-organic_hybrid,High
C5H13OAl2+,143.059169,positive,Molecular ion,Al-organic_hybrid,High
[C5H14OAl2-H]+,143.059169,positive,Hydrogen loss,Al-organic_hybrid,High
C5H13OAl2-,143.060267,negative,Molecular anion,Al-organic_hybrid,High
[C5H14OAl2-H]-,143.060267,negative,Deprotonated,Al-organic_hybrid,High
[C6H11O2Al+H]+,143.06472,positive,Protonated,Al-organic_hybrid,High
C6H12O2Al+,143.06472,positive,Molecular ion,Al-organic_hybrid,High
[C6H13O2Al-H]+,143.06472,positive,Hydrogen loss,Al-organic_hybrid,High
C6H12O2Al-,143.065818,negative,Molecular anion,Al-organic_hybrid,High
[C6H13O2Al-H]-,143.065818,negative,Deprotonated,Al-organic_hybrid,High
[H18OAl4+H]+,143.069197,positive,Protonated,Aluminum_oxide,High
H19OAl4+,143.069197,positive,Molecular ion,Aluminum_oxide,High
[H20OAl4-H]+,143.069197,positive,Hydrogen loss,Aluminum_oxide,High
H19OAl4-,143.07029500000002,negative,Molecular anion,Aluminum_oxide,High
[H20OAl4-H]-,143.07029500000002,negative,Deprotonated,Aluminum_oxide,High
[CH17O2Al3+H]+,143.074748,positive,Protonated,Al-organic_hybrid,High
CH18O2Al3+,143.074748,positive,Molecular ion,Al-organic_hybrid,High
[CH19O2Al3-H]+,143.074748,positive,Hydrogen loss,Al-organic_hybrid,High
