formula,mass,charge,description,chemical_class,alucone_relevance
Al+,26.980990000000002,positive,Molecular ion,Aluminum,High
[HAl-H]+,26.980990000000002,positive,Hydrogen loss,Aluminum,High
Al-,26.982088,negative,Molecular anion,Aluminum,High
[HAl-H]-,26.982088,negative,Deprotonated,Aluminum,High
[Al+H]+,27.988815000000002,positive,Protonated,Aluminum,High
HAl+,27.988815000000002,positive,Molecular ion,Aluminum,High
[H2Al-H]+,27.988815000000002,positive,Hydrogen loss,Aluminum,High
HAl-,27.989913,negative,Molecular anion,Aluminum,High
[H2Al-H]-,27.989913,negative,Deprotonated,Aluminum,High
[HAl+H]+,28.996640000000003,positive,Protonated,Aluminum,High
H2Al+,28.996640000000003,positive,Molecular ion,Aluminum,High
[H3Al-H]+,28.996640000000003,positive,Hydrogen loss,Aluminum,High
H2Al-,28.997738000000002,negative,Molecular anion,Aluminum,High
[H3Al-H]-,28.997738000000002,negative,Deprotonated,Aluminum,High
[H4Al-H]+,30.004465,positive,Hydrogen loss,Aluminum,High
[H2Al+H]+,30.004465000000003,positive,Protonated,Aluminum,High
H3Al+,30.004465000000003,positive,Molecular ion,Aluminum,High
[H4Al-H]-,30.005563,negative,Deprotonated,Aluminum,High
H3Al-,30.005563000000002,negative,Molecular anion,Aluminum,High
H4Al+,31.01229,positive,Molecular ion,Aluminum,High
[H3Al+H]+,31.012290000000004,positive,Protonated,Aluminum,High
[H5Al-H]+,31.012290000000004,positive,Hydrogen loss,Aluminum,High
H4Al-,31.013388,negative,Molecular anion,Aluminum,High
[H5Al-H]-,31.013388000000003,negative,Deprotonated,Aluminum,High
[H4Al+H]+,32.020115,positive,Protonated,Aluminum,High
H5Al+,32.020115000000004,positive,Molecular ion,Aluminum,High
[H6Al-H]+,32.020115000000004,positive,Hydrogen loss,Aluminum,High
H5Al-,32.021213,negative,Molecular anion,Aluminum,High
[H6Al-H]-,32.021213,negative,Deprotonated,Aluminum,High
[H5Al+H]+,33.02794,positive,Protonated,Aluminum,High
H6Al+,33.02794,positive,Molecular ion,Aluminum,High
[H7Al-H]+,33.02794000000001,positive,Hydrogen loss,Aluminum,High
H6Al-,33.029038,negative,Molecular anion,Aluminum,High
[H7Al-H]-,33.02903800000001,negative,Deprotonated,Aluminum,High
[H6Al+H]+,34.035765,positive,Protonated,Aluminum,High
H7Al+,34.035765000000005,positive,Molecular ion,Aluminum,High
[H8Al-H]+,34.035765000000005,positive,Hydrogen loss,Aluminum,High
H7Al-,34.036863000000004,negative,Molecular anion,Aluminum,High
[H8Al-H]-,34.036863000000004,negative,Deprotonated,Aluminum,High
[H7Al+H]+,35.04359,positive,Protonated,Aluminum,High
H8Al+,35.04359,positive,Molecular ion,Aluminum,High
[H9Al-H]+,35.04359,positive,Hydrogen loss,Aluminum,High
H8Al-,35.044688,negative,Molecular anion,Aluminum,High
[H9Al-H]-,35.044688,negative,Deprotonated,Aluminum,High
[H8Al+H]+,36.051415,positive,Protonated,Aluminum,High
H9Al+,36.051415,positive,Molecular ion,Aluminum,High
[H10Al-H]+,36.051415000000006,positive,Hydrogen loss,Aluminum,High
H9Al-,36.052513,negative,Molecular anion,Aluminum,High
[H10Al-H]-,36.052513000000005,negative,Deprotonated,Aluminum,High
[H9Al+H]+,37.059239999999996,positive,Protonated,Aluminum,High
H10Al+,37.05924,positive,Molecular ion,Aluminum,High
[H11Al-H]+,37.05924,positive,Hydrogen loss,Aluminum,High
H10Al-,37.060338,negative,Molecular anion,Aluminum,High
[H11Al-H]-,37.060338,negative,Deprotonated,Aluminum,High
[H10Al+H]+,38.067065,positive,Protonated,Aluminum,High
H11Al+,38.067065,positive,Molecular ion,Aluminum,High
[H12Al-H]+,38.06706500000001,positive,Hydrogen loss,Aluminum,High
H11Al-,38.068163,negative,Molecular anion,Aluminum,High
[H12Al-H]-,38.068163000000006,negative,Deprotonated,Aluminum,High
CAl+,38.98099,positive,Molecular ion,Al-organic_hybrid,High
[CHAl-H]+,38.980990000000006,positive,Hydrogen loss,Al-organic_hybrid,High
CAl-,38.982088,negative,Molecular anion,Al-organic_hybrid,High
[CHAl-H]-,38.982088000000005,negative,Deprotonated,Al-organic_hybrid,High
[H11Al+H]+,39.074889999999996,positive,Protonated,Aluminum,High
H12Al+,39.07489,positive,Molecular ion,Aluminum,High
[H13Al-H]+,39.07489,positive,Hydrogen loss,Aluminum,High
H12Al-,39.075988,negative,Molecular anion,Aluminum,High
[H13Al-H]-,39.075988,negative,Deprotonated,Aluminum,High
[CAl+H]+,39.988814999999995,positive,Protonated,Al-organic_hybrid,High
CHAl+,39.988815,positive,Molecular ion,Al-organic_hybrid,High
[CH2Al-H]+,39.98881500000001,positive,Hydrogen loss,Al-organic_hybrid,High
CHAl-,39.989913,negative,Molecular anion,Al-organic_hybrid,High
[CH2Al-H]-,39.98991300000001,negative,Deprotonated,Al-organic_hybrid,High
[H12Al+H]+,40.082715,positive,Protonated,Aluminum,High
H13Al+,40.082715,positive,Molecular ion,Aluminum,High
[H14Al-H]+,40.082715,positive,Hydrogen loss,Aluminum,High
H13Al-,40.083813,negative,Molecular anion,Aluminum,High
[H14Al-H]-,40.083813,negative,Deprotonated,Aluminum,High
[CHAl+H]+,40.99664,positive,Protonated,Al-organic_hybrid,High
CH2Al+,40.996640000000006,positive,Molecular ion,Al-organic_hybrid,High
[CH3Al-H]+,40.996640000000006,positive,Hydrogen loss,Al-organic_hybrid,High
CH2Al-,40.997738000000005,negative,Molecular anion,Al-organic_hybrid,High
[CH3Al-H]-,40.997738000000005,negative,Deprotonated,Al-organic_hybrid,High
[H13Al+H]+,41.09054,positive,Protonated,Aluminum,High
H14Al+,41.09054,positive,Molecular ion,Aluminum,High
[H15Al-H]+,41.090540000000004,positive,Hydrogen loss,Aluminum,High
H14Al-,41.091637999999996,negative,Molecular anion,Aluminum,High
[H15Al-H]-,41.091638,negative,Deprotonated,Aluminum,High
[CH2Al+H]+,42.004465,positive,Protonated,Al-organic_hybrid,High
CH3Al+,42.004465,positive,Molecular ion,Al-organic_hybrid,High
[CH4Al-H]+,42.004465,positive,Hydrogen loss,Al-organic_hybrid,High
CH3Al-,42.005563,negative,Molecular anion,Al-organic_hybrid,High
[CH4Al-H]-,42.005563,negative,Deprotonated,Al-organic_hybrid,High
[H14Al+H]+,42.098364999999994,positive,Protonated,Aluminum,High
H15Al+,42.098365,positive,Molecular ion,Aluminum,High
[H16Al-H]+,42.09836500000001,positive,Hydrogen loss,Aluminum,High
H15Al-,42.099463,negative,Molecular anion,Aluminum,High
[H16Al-H]-,42.09946300000001,negative,Deprotonated,Aluminum,High
OAl+,42.975905000000004,positive,Molecular ion,Aluminum_oxide,High
[HOAl-H]+,42.975905000000004,positive,Hydrogen loss,Aluminum_oxide,High
OAl-,42.977003,negative,Molecular anion,Aluminum_oxide,High
[HOAl-H]-,42.977003,negative,Deprotonated,Aluminum_oxide,High
[CH3Al+H]+,43.01229,positive,Protonated,Al-organic_hybrid,High
CH4Al+,43.01229,positive,Molecular ion,Al-organic_hybrid,High
[CH5Al-H]+,43.01229,positive,Hydrogen loss,Al-organic_hybrid,High
CH4Al-,43.013388,negative,Molecular anion,Al-organic_hybrid,High
[CH5Al-H]-,43.013388,negative,Deprotonated,Al-organic_hybrid,High
[H15Al+H]+,43.10619,positive,Protonated,Aluminum,High
H16Al+,43.106190000000005,positive,Molecular ion,Aluminum,High
[H17Al-H]+,43.106190000000005,positive,Hydrogen loss,Aluminum,High
H16Al-,43.107288000000004,negative,Molecular anion,Aluminum,High
[H17Al-H]-,43.107288000000004,negative,Deprotonated,Aluminum,High
[OAl+H]+,43.98373,positive,Protonated,Aluminum_oxide,High
HOAl+,43.98373,positive,Molecular ion,Aluminum_oxide,High
[H2OAl-H]+,43.98373,positive,Hydrogen loss,Aluminum_oxide,High
HOAl-,43.984828,negative,Molecular anion,Aluminum_oxide,High
[H2OAl-H]-,43.984828,negative,Deprotonated,Aluminum_oxide,High
[CH4Al+H]+,44.020115,positive,Protonated,Al-organic_hybrid,High
CH5Al+,44.020115,positive,Molecular ion,Al-organic_hybrid,High
[CH6Al-H]+,44.020115000000004,positive,Hydrogen loss,Al-organic_hybrid,High
CH5Al-,44.021212999999996,negative,Molecular anion,Al-organic_hybrid,High
[CH6Al-H]-,44.021213,negative,Deprotonated,Al-organic_hybrid,High
[H16Al+H]+,44.114015,positive,Protonated,Aluminum,High
H17Al+,44.114015,positive,Molecular ion,Aluminum,High
[H18Al-H]+,44.114015,positive,Hydrogen loss,Aluminum,High
H17Al-,44.115113,negative,Molecular anion,Aluminum,High
[H18Al-H]-,44.115113,negative,Deprotonated,Aluminum,High
[HOAl+H]+,44.991555,positive,Protonated,Aluminum_oxide,High
H2OAl+,44.991555,positive,Molecular ion,Aluminum_oxide,High
[H3OAl-H]+,44.991555000000005,positive,Hydrogen loss,Aluminum_oxide,High
H2OAl-,44.992653,negative,Molecular anion,Aluminum_oxide,High
[H3OAl-H]-,44.992653000000004,negative,Deprotonated,Aluminum_oxide,High
[CH5Al+H]+,45.027939999999994,positive,Protonated,Al-organic_hybrid,High
CH6Al+,45.02794,positive,Molecular ion,Al-organic_hybrid,High
[CH7Al-H]+,45.02794000000001,positive,Hydrogen loss,Al-organic_hybrid,High
CH6Al-,45.029038,negative,Molecular anion,Al-organic_hybrid,High
[CH7Al-H]-,45.02903800000001,negative,Deprotonated,Al-organic_hybrid,High
[H17Al+H]+,45.12184,positive,Protonated,Aluminum,High
H18Al+,45.12184,positive,Molecular ion,Aluminum,High
[H19Al-H]+,45.121840000000006,positive,Hydrogen loss,Aluminum,High
H18Al-,45.122938,negative,Molecular anion,Aluminum,High
[H19Al-H]-,45.122938000000005,negative,Deprotonated,Aluminum,High
[H2OAl+H]+,45.999379999999995,positive,Protonated,Aluminum_oxide,High
H3OAl+,45.99938,positive,Molecular ion,Aluminum_oxide,High
[H4OAl-H]+,45.99938000000001,positive,Hydrogen loss,Aluminum_oxide,High
H3OAl-,46.000478,negative,Molecular anion,Aluminum_oxide,High
[H4OAl-H]-,46.00047800000001,negative,Deprotonated,Aluminum_oxide,High
[CH6Al+H]+,46.035765,positive,Protonated,Al-organic_hybrid,High
CH7Al+,46.035765000000005,positive,Molecular ion,Al-organic_hybrid,High
[CH8Al-H]+,46.035765000000005,positive,Hydrogen loss,Al-organic_hybrid,High
CH7Al-,46.036863000000004,negative,Molecular anion,Al-organic_hybrid,High
[CH8Al-H]-,46.036863000000004,negative,Deprotonated,Al-organic_hybrid,High
[H18Al+H]+,46.129664999999996,positive,Protonated,Aluminum,High
H19Al+,46.129665,positive,Molecular ion,Aluminum,High
[H20Al-H]+,46.12966500000001,positive,Hydrogen loss,Aluminum,High
H19Al-,46.130763,negative,Molecular anion,Aluminum,High
[H20Al-H]-,46.13076300000001,negative,Deprotonated,Aluminum,High
[H3OAl+H]+,47.007205,positive,Protonated,Aluminum_oxide,High
H4OAl+,47.007205000000006,positive,Molecular ion,Aluminum_oxide,High
[H5OAl-H]+,47.007205000000006,positive,Hydrogen loss,Aluminum_oxide,High
H4OAl-,47.008303000000005,negative,Molecular anion,Aluminum_oxide,High
[H5OAl-H]-,47.008303000000005,negative,Deprotonated,Aluminum_oxide,High
[CH7Al+H]+,47.04359,positive,Protonated,Al-organic_hybrid,High
CH8Al+,47.04359,positive,Molecular ion,Al-organic_hybrid,High
[CH9Al-H]+,47.04359,positive,Hydrogen loss,Al-organic_hybrid,High
CH8Al-,47.044688,negative,Molecular anion,Al-organic_hybrid,High
[CH9Al-H]-,47.044688,negative,Deprotonated,Al-organic_hybrid,High
[H19Al+H]+,47.13749,positive,Protonated,Aluminum,High
H20Al+,47.13749000000001,positive,Molecular ion,Aluminum,High
[H21Al-H]+,47.13749000000001,positive,Hydrogen loss,Aluminum,High
H20Al-,47.138588000000006,negative,Molecular anion,Aluminum,High
[H21Al-H]-,47.138588000000006,negative,Deprotonated,Aluminum,High
[H4OAl+H]+,48.01503,positive,Protonated,Aluminum_oxide,High
H5OAl+,48.01503,positive,Molecular ion,Aluminum_oxide,High
[H6OAl-H]+,48.01503,positive,Hydrogen loss,Aluminum_oxide,High
H5OAl-,48.016128,negative,Molecular anion,Aluminum_oxide,High
[H6OAl-H]-,48.016128,negative,Deprotonated,Aluminum_oxide,High
[CH8Al+H]+,48.051415,positive,Protonated,Al-organic_hybrid,High
CH9Al+,48.051415,positive,Molecular ion,Al-organic_hybrid,High
[CH10Al-H]+,48.051415000000006,positive,Hydrogen loss,Al-organic_hybrid,High
CH9Al-,48.052513,negative,Molecular anion,Al-organic_hybrid,High
[CH10Al-H]-,48.052513000000005,negative,Deprotonated,Al-organic_hybrid,High
[H20Al+H]+,48.145315000000004,positive,Protonated,Aluminum,High
H21Al+,48.145315000000004,positive,Molecular ion,Aluminum,High
[H22Al-H]+,48.145315000000004,positive,Hydrogen loss,Aluminum,High
H21Al-,48.146413,negative,Molecular anion,Aluminum,High
[H22Al-H]-,48.146413,negative,Deprotonated,Aluminum,High
[H5OAl+H]+,49.022855,positive,Protonated,Aluminum_oxide,High
H6OAl+,49.022855,positive,Molecular ion,Aluminum_oxide,High
[H7OAl-H]+,49.022855,positive,Hydrogen loss,Aluminum_oxide,High
H6OAl-,49.023953,negative,Molecular anion,Aluminum_oxide,High
[H7OAl-H]-,49.023953,negative,Deprotonated,Aluminum_oxide,High
[CH9Al+H]+,49.059239999999996,positive,Protonated,Al-organic_hybrid,High
CH10Al+,49.05924,positive,Molecular ion,Al-organic_hybrid,High
[CH11Al-H]+,49.05924000000001,positive,Hydrogen loss,Al-organic_hybrid,High
CH10Al-,49.060338,negative,Molecular anion,Al-organic_hybrid,High
[CH11Al-H]-,49.06033800000001,negative,Deprotonated,Al-organic_hybrid,High
[H21Al+H]+,49.15314,positive,Protonated,Aluminum,High
H22Al+,49.15314,positive,Molecular ion,Aluminum,High
[H23Al-H]+,49.15314,positive,Hydrogen loss,Aluminum,High
H22Al-,49.154238,negative,Molecular anion,Aluminum,High
[H23Al-H]-,49.154238,negative,Deprotonated,Aluminum,High
[H6OAl+H]+,50.03068,positive,Protonated,Aluminum_oxide,High
H7OAl+,50.03068,positive,Molecular ion,Aluminum_oxide,High
[H8OAl-H]+,50.03068000000001,positive,Hydrogen loss,Aluminum_oxide,High
H7OAl-,50.031777999999996,negative,Molecular anion,Aluminum_oxide,High
[H8OAl-H]-,50.03177800000001,negative,Deprotonated,Aluminum_oxide,High
[CH10Al+H]+,50.067065,positive,Protonated,Al-organic_hybrid,High
CH11Al+,50.06706500000001,positive,Molecular ion,Al-organic_hybrid,High
[CH12Al-H]+,50.06706500000001,positive,Hydrogen loss,Al-organic_hybrid,High
CH11Al-,50.068163000000006,negative,Molecular anion,Al-organic_hybrid,High
[CH12Al-H]-,50.068163000000006,negative,Deprotonated,Al-organic_hybrid,High
[H22Al+H]+,50.160965,positive,Protonated,Aluminum,High
H23Al+,50.160965,positive,Molecular ion,Aluminum,High
[H24Al-H]+,50.160965000000004,positive,Hydrogen loss,Aluminum,High
H23Al-,50.162062999999996,negative,Molecular anion,Aluminum,High
[H24Al-H]-,50.162063,negative,Deprotonated,Aluminum,High
C2Al+,50.98099,positive,Molecular ion,Al-organic_hybrid,High
[C2HAl-H]+,50.980990000000006,positive,Hydrogen loss,Al-organic_hybrid,High
C2Al-,50.982088,negative,Molecular anion,Al-organic_hybrid,High
[C2HAl-H]-,50.982088000000005,negative,Deprotonated,Al-organic_hybrid,High
[H7OAl+H]+,51.038504999999994,positive,Protonated,Aluminum_oxide,High
H8OAl+,51.03850500000001,positive,Molecular ion,Aluminum_oxide,High
[H9OAl-H]+,51.03850500000001,positive,Hydrogen loss,Aluminum_oxide,High
H8OAl-,51.03960300000001,negative,Molecular anion,Aluminum_oxide,High
[H9OAl-H]-,51.03960300000001,negative,Deprotonated,Aluminum_oxide,High
[CH11Al+H]+,51.07489,positive,Protonated,Al-organic_hybrid,High
CH12Al+,51.07489,positive,Molecular ion,Al-organic_hybrid,High
[CH13Al-H]+,51.07489,positive,Hydrogen loss,Al-organic_hybrid,High
CH12Al-,51.075988,negative,Molecular anion,Al-organic_hybrid,High
[CH13Al-H]-,51.075988,negative,Deprotonated,Al-organic_hybrid,High
[H23Al+H]+,51.168789999999994,positive,Protonated,Aluminum,High
H24Al+,51.16879,positive,Molecular ion,Aluminum,High
[H25Al-H]+,51.16879000000001,positive,Hydrogen loss,Aluminum,High
H24Al-,51.169888,negative,Molecular anion,Aluminum,High
[H25Al-H]-,51.16988800000001,negative,Deprotonated,Aluminum,High
[C2Al+H]+,51.988814999999995,positive,Protonated,Al-organic_hybrid,High
C2HAl+,51.988815,positive,Molecular ion,Al-organic_hybrid,High
[C2H2Al-H]+,51.98881500000001,positive,Hydrogen loss,Al-organic_hybrid,High
C2HAl-,51.989913,negative,Molecular anion,Al-organic_hybrid,High
[C2H2Al-H]-,51.98991300000001,negative,Deprotonated,Al-organic_hybrid,High
[H8OAl+H]+,52.046330000000005,positive,Protonated,Aluminum_oxide,High
H9OAl+,52.046330000000005,positive,Molecular ion,Aluminum_oxide,High
[H10OAl-H]+,52.046330000000005,positive,Hydrogen loss,Aluminum_oxide,High
H9OAl-,52.047428000000004,negative,Molecular anion,Aluminum_oxide,High
[H10OAl-H]-,52.047428000000004,negative,Deprotonated,Aluminum_oxide,High
[CH12Al+H]+,52.082715,positive,Protonated,Al-organic_hybrid,High
CH13Al+,52.082715,positive,Molecular ion,Al-organic_hybrid,High
[CH14Al-H]+,52.082715,positive,Hydrogen loss,Al-organic_hybrid,High
CH13Al-,52.083813,negative,Molecular anion,Al-organic_hybrid,High
[CH14Al-H]-,52.083813,negative,Deprotonated,Al-organic_hybrid,High
[H24Al+H]+,52.176615,positive,Protonated,Aluminum,High
H25Al+,52.176615000000005,positive,Molecular ion,Aluminum,High
[H26Al-H]+,52.176615000000005,positive,Hydrogen loss,Aluminum,High
H25Al-,52.177713000000004,negative,Molecular anion,Aluminum,High
[H26Al-H]-,52.177713000000004,negative,Deprotonated,Aluminum,High
[C2HAl+H]+,52.99664,positive,Protonated,Al-organic_hybrid,High
C2H2Al+,52.996640000000006,positive,Molecular ion,Al-organic_hybrid,High
[C2H3Al-H]+,52.996640000000006,positive,Hydrogen loss,Al-organic_hybrid,High
C2H2Al-,52.997738000000005,negative,Molecular anion,Al-organic_hybrid,High
[C2H3Al-H]-,52.997738000000005,negative,Deprotonated,Al-organic_hybrid,High
[H9OAl+H]+,53.054155,positive,Protonated,Aluminum_oxide,High
H10OAl+,53.054155,positive,Molecular ion,Aluminum_oxide,High
[H11OAl-H]+,53.054155,positive,Hydrogen loss,Aluminum_oxide,High
H10OAl-,53.055253,negative,Molecular anion,Aluminum_oxide,High
[H11OAl-H]-,53.055253,negative,Deprotonated,Aluminum_oxide,High
[CH13Al+H]+,53.09054,positive,Protonated,Al-organic_hybrid,High
CH14Al+,53.09054,positive,Molecular ion,Al-organic_hybrid,High
[CH15Al-H]+,53.090540000000004,positive,Hydrogen loss,Al-organic_hybrid,High
CH14Al-,53.091637999999996,negative,Molecular anion,Al-organic_hybrid,High
[CH15Al-H]-,53.091638,negative,Deprotonated,Al-organic_hybrid,High
[H25Al+H]+,53.18444,positive,Protonated,Aluminum,High
H26Al+,53.18444,positive,Molecular ion,Aluminum,High
[H27Al-H]+,53.18444,positive,Hydrogen loss,Aluminum,High
H26Al-,53.185538,negative,Molecular anion,Aluminum,High
[H27Al-H]-,53.185538,negative,Deprotonated,Aluminum,High
Al2+,53.962529,positive,Molecular ion,Aluminum,High
[HAl2-H]+,53.962529,positive,Hydrogen loss,Aluminum,High
Al2-,53.963627,negative,Molecular anion,Aluminum,High
[HAl2-H]-,53.963627,negative,Deprotonated,Aluminum,High
[C2H2Al+H]+,54.004465,positive,Protonated,Al-organic_hybrid,High
C2H3Al+,54.004465,positive,Molecular ion,Al-organic_hybrid,High
[C2H4Al-H]+,54.004465,positive,Hydrogen loss,Al-organic_hybrid,High
C2H3Al-,54.005563,negative,Molecular anion,Al-organic_hybrid,High
[C2H4Al-H]-,54.005563,negative,Deprotonated,Al-organic_hybrid,High
[H10OAl+H]+,54.06198,positive,Protonated,Aluminum_oxide,High
H11OAl+,54.06198,positive,Molecular ion,Aluminum_oxide,High
[H12OAl-H]+,54.061980000000005,positive,Hydrogen loss,Aluminum_oxide,High
H11OAl-,54.063078,negative,Molecular anion,Aluminum_oxide,High
[H12OAl-H]-,54.063078000000004,negative,Deprotonated,Aluminum_oxide,High
[CH14Al+H]+,54.098364999999994,positive,Protonated,Al-organic_hybrid,High
CH15Al+,54.098365,positive,Molecular ion,Al-organic_hybrid,High
[CH16Al-H]+,54.09836500000001,positive,Hydrogen loss,Al-organic_hybrid,High
CH15Al-,54.099463,negative,Molecular anion,Al-organic_hybrid,High
[CH16Al-H]-,54.09946300000001,negative,Deprotonated,Al-organic_hybrid,High
[H26Al+H]+,54.192265,positive,Protonated,Aluminum,High
H27Al+,54.192265,positive,Molecular ion,Aluminum,High
[H28Al-H]+,54.192265,positive,Hydrogen loss,Aluminum,High
H27Al-,54.193363,negative,Molecular anion,Aluminum,High
[H28Al-H]-,54.193363,negative,Deprotonated,Aluminum,High
[Al2+H]+,54.970354,positive,Protonated,Aluminum,High
HAl2+,54.970354,positive,Molecular ion,Aluminum,High
[H2Al2-H]+,54.97035400000001,positive,Hydrogen loss,Aluminum,High
HAl2-,54.971452,negative,Molecular anion,Aluminum,High
[H2Al2-H]-,54.971452000000006,negative,Deprotonated,Aluminum,High
COAl+,54.975905000000004,positive,Molecular ion,Al-organic_hybrid,High
[CHOAl-H]+,54.975905000000004,positive,Hydrogen loss,Al-organic_hybrid,High
COAl-,54.977003,negative,Molecular anion,Al-organic_hybrid,High
[CHOAl-H]-,54.977003,negative,Deprotonated,Al-organic_hybrid,High
[C2H3Al+H]+,55.01229,positive,Protonated,Al-organic_hybrid,High
C2H4Al+,55.01229,positive,Molecular ion,Al-organic_hybrid,High
[C2H5Al-H]+,55.01229,positive,Hydrogen loss,Al-organic_hybrid,High
C2H4Al-,55.013388,negative,Molecular anion,Al-organic_hybrid,High
[C2H5Al-H]-,55.013388,negative,Deprotonated,Al-organic_hybrid,High
[H11OAl+H]+,55.069804999999995,positive,Protonated,Aluminum_oxide,High
H12OAl+,55.069805,positive,Molecular ion,Aluminum_oxide,High
[H13OAl-H]+,55.06980500000001,positive,Hydrogen loss,Aluminum_oxide,High
H12OAl-,55.070903,negative,Molecular anion,Aluminum_oxide,High
[H13OAl-H]-,55.07090300000001,negative,Deprotonated,Aluminum_oxide,High
[CH15Al+H]+,55.10619,positive,Protonated,Al-organic_hybrid,High
CH16Al+,55.106190000000005,positive,Molecular ion,Al-organic_hybrid,High
[CH17Al-H]+,55.106190000000005,positive,Hydrogen loss,Al-organic_hybrid,High
CH16Al-,55.107288000000004,negative,Molecular anion,Al-organic_hybrid,High
[CH17Al-H]-,55.107288000000004,negative,Deprotonated,Al-organic_hybrid,High
[H27Al+H]+,55.200089999999996,positive,Protonated,Aluminum,High
H28Al+,55.200089999999996,positive,Molecular ion,Aluminum,High
[H29Al-H]+,55.20009,positive,Hydrogen loss,Aluminum,High
H28Al-,55.201187999999995,negative,Molecular anion,Aluminum,High
[H29Al-H]-,55.201188,negative,Deprotonated,Aluminum,High
[HAl2+H]+,55.978179,positive,Protonated,Aluminum,High
H2Al2+,55.978179000000004,positive,Molecular ion,Aluminum,High
[H3Al2-H]+,55.978179000000004,positive,Hydrogen loss,Aluminum,High
H2Al2-,55.979277,negative,Molecular anion,Aluminum,High
[H3Al2-H]-,55.979277,negative,Deprotonated,Aluminum,High
[COAl+H]+,55.98373,positive,Protonated,Al-organic_hybrid,High
CHOAl+,55.98373,positive,Molecular ion,Al-organic_hybrid,High
[CH2OAl-H]+,55.98373,positive,Hydrogen loss,Al-organic_hybrid,High
CHOAl-,55.984828,negative,Molecular anion,Al-organic_hybrid,High
[CH2OAl-H]-,55.984828,negative,Deprotonated,Al-organic_hybrid,High
[C2H4Al+H]+,56.020115,positive,Protonated,Al-organic_hybrid,High
C2H5Al+,56.020115,positive,Molecular ion,Al-organic_hybrid,High
[C2H6Al-H]+,56.020115000000004,positive,Hydrogen loss,Al-organic_hybrid,High
C2H5Al-,56.021212999999996,negative,Molecular anion,Al-organic_hybrid,High
[C2H6Al-H]-,56.021213,negative,Deprotonated,Al-organic_hybrid,High
[H12OAl+H]+,56.07763,positive,Protonated,Aluminum_oxide,High
H13OAl+,56.077630000000006,positive,Molecular ion,Aluminum_oxide,High
[H14OAl-H]+,56.077630000000006,positive,Hydrogen loss,Aluminum_oxide,High
H13OAl-,56.078728000000005,negative,Molecular anion,Aluminum_oxide,High
[H14OAl-H]-,56.078728000000005,negative,Deprotonated,Aluminum_oxide,High
[CH16Al+H]+,56.114015,positive,Protonated,Al-organic_hybrid,High
CH17Al+,56.114015,positive,Molecular ion,Al-organic_hybrid,High
[CH18Al-H]+,56.114015,positive,Hydrogen loss,Al-organic_hybrid,High
CH17Al-,56.115113,negative,Molecular anion,Al-organic_hybrid,High
[CH18Al-H]-,56.115113,negative,Deprotonated,Al-organic_hybrid,High
[H28Al+H]+,56.20791499999999,positive,Protonated,Aluminum,High
H29Al+,56.207915,positive,Molecular ion,Aluminum,High
[H30Al-H]+,56.20791500000001,positive,Hydrogen loss,Aluminum,High
H29Al-,56.209013,negative,Molecular anion,Aluminum,High
[H30Al-H]-,56.209013000000006,negative,Deprotonated,Aluminum,High
[H2Al2+H]+,56.986004,positive,Protonated,Aluminum,High
H3Al2+,56.986004,positive,Molecular ion,Aluminum,High
[H4Al2-H]+,56.98600400000001,positive,Hydrogen loss,Aluminum,High
H3Al2-,56.987102,negative,Molecular anion,Aluminum,High
[H4Al2-H]-,56.98710200000001,negative,Deprotonated,Aluminum,High
[CHOAl+H]+,56.991555,positive,Protonated,Al-organic_hybrid,High
CH2OAl+,56.991555,positive,Molecular ion,Al-organic_hybrid,High
[CH3OAl-H]+,56.991555000000005,positive,Hydrogen loss,Al-organic_hybrid,High
CH2OAl-,56.992653,negative,Molecular anion,Al-organic_hybrid,High
[CH3OAl-H]-,56.992653000000004,negative,Deprotonated,Al-organic_hybrid,High
[C2H5Al+H]+,57.027939999999994,positive,Protonated,Al-organic_hybrid,High
C2H6Al+,57.02794,positive,Molecular ion,Al-organic_hybrid,High
[C2H7Al-H]+,57.02794000000001,positive,Hydrogen loss,Al-organic_hybrid,High
C2H6Al-,57.029038,negative,Molecular anion,Al-organic_hybrid,High
[C2H7Al-H]-,57.02903800000001,negative,Deprotonated,Al-organic_hybrid,High
[H13OAl+H]+,57.085455,positive,Protonated,Aluminum_oxide,High
H14OAl+,57.085455,positive,Molecular ion,Aluminum_oxide,High
[H15OAl-H]+,57.085455,positive,Hydrogen loss,Aluminum_oxide,High
H14OAl-,57.086553,negative,Molecular anion,Aluminum_oxide,High
[H15OAl-H]-,57.086553,negative,Deprotonated,Aluminum_oxide,High
[CH17Al+H]+,57.12184,positive,Protonated,Al-organic_hybrid,High
CH18Al+,57.12184,positive,Molecular ion,Al-organic_hybrid,High
[CH19Al-H]+,57.121840000000006,positive,Hydrogen loss,Al-organic_hybrid,High
CH18Al-,57.122938,negative,Molecular anion,Al-organic_hybrid,High
[CH19Al-H]-,57.122938000000005,negative,Deprotonated,Al-organic_hybrid,High
[H29Al+H]+,57.21574,positive,Protonated,Aluminum,High
H30Al+,57.215740000000004,positive,Molecular ion,Aluminum,High
[H31Al-H]+,57.215740000000004,positive,Hydrogen loss,Aluminum,High
H30Al-,57.216838,negative,Molecular anion,Aluminum,High
[H31Al-H]-,57.216838,negative,Deprotonated,Aluminum,High
[H3Al2+H]+,57.993829,positive,Protonated,Aluminum,High
